User ID,Active,Created By ID,Created Date,Email,First Name,Full Name,Individual ID,Last Name,Nickname,Profile ID,Role ID,Title,User Type,Username,UserRole.Role ID,UserRole.Name,Profile.Profile ID,Profile.Access Activities,Profile.User License ID,Profile.User Type
"005Dm000000WJZxIAO","true","005Dm000000WJZyIAO","02/20/2023T20:38:13.000Z","autoproc@00ddm000000hqjmmaw","Automated","Automated Process","","Process","automatedprocess","00eDm000000WIa9IAG","","","AutomatedProcess","autoproc@00ddm000000hqjmmaw","","","","","",""
"005Dm000000WJa4IAG","true","005Dm000000WJZyIAO","02/20/2023T20:38:13.000Z","automatedclean@00ddm000000hqjmmaw","","Data.com Clean","","Data.com Clean","User16136325780372894692","00eDm000000WIa9IAG","","","AutomatedProcess","automatedclean@00ddm000000hqjmmaw","","","","","",""
"005Dm000000ySOoIAM","false","005Dm000000yCUFIA2","02/21/2023T22:28:36.000Z","jon@unitedsolar.com","Jon","Jon Langston","","Langston","User16770183849256045795","00eDm000000tKxuIAE","","","Standard","jon@unitedsolar.com","","","00eDm000000tKxuIAE","true","100Dm0000001VLiIAM","Standard"
"005Dm000000ySTVIA2","false","005Dm000000yCUFIA2","02/21/2023T22:34:09.000Z","lsssa@unitedsolar.com","Lisa","Lisa Goodwin","","Goodwin","User16770186211556978322","00eDm000000tKxuIAE","","","Standard","lsssa@unitedsolar.com","","","00eDm000000tKxuIAE","true","100Dm0000001VLiIAM","Standard"
"005Dm000000yScjIAE","false","005Dm000000yCUFIA2","02/21/2023T22:42:22.000Z","damiamania@unitedsolar.com","Damian","Damian Keystone","","Keystone","User16770192489398740380","00eDm000000tKy4IAE","","","Standard","damiamania@unitedsolar.com","","","00eDm000000tKy4IAE","true","100Dm0000001VLiIAM","Standard"
"005Dm000000ySlxIAE","false","005Dm000000yCUFIA2","02/21/2023T22:56:40.000Z","arabspring@unitedsolar.com","Alexandra","Alexandra Cairo","","Cairo","User16770200705221382739","00eDm000000tKxzIAE","","Support Rep","Standard","arabspring@unitedsolar.com","","","00eDm000000tKxzIAE","true","100Dm0000001VLiIAM","Standard"
"005Dm000000ySuXIAU","false","005Dm000000yCUFIA2","02/21/2023T22:59:36.000Z","thehouse@unitedsolar.com","Cory","Cory InTheHouse","","InTheHouse","User16770203396154236899","00eDm000000tKyEIAU","","","Standard","thehouse@unitedsolar.com","","","00eDm000000tKyEIAU","true","100Dm0000001VLiIAM","Standard"
"005Dm000000WJZwIAO","true","005Dm000000yCUFIA2","02/20/2023T20:38:13.000Z","integration@example.com","Integration","Integration User","","User","integration1.4407085834085586E12","00eDm000000WIa8IAG","","","Standard","integration@00ddm000000hqjmmaw.com","","","00eDm000000WIa8IAG","true","100Dm0000001VLnIAM","Standard"
"005Dm000000WJa5IAG","true","005Dm000000yCUFIA2","02/20/2023T20:38:13.000Z","insightssecurity@example.com","Security","Security User","","User","insightssecurity1.4407085845464958E12","00eDm000000WIaEIAW","","","Standard","insightssecurity@00ddm000000hqjmmaw.com","","","00eDm000000WIaEIAW","false","100Dm0000001VLnIAM","Standard"
"005Dm000000yCUFIA2","true","005Dm000000yCUFIA2","02/20/2023T20:38:13.000Z","lawrencejesse214@gmail.com","Jesse","Jesse Lawrence","","Lawrence","User16769254934581308217","00eDm000000WIa7IAG","","","Standard","lawrencejesse214@empathetic-hawk-dduefa.com","","","00eDm000000WIa7IAG","true","100Dm0000001VLiIAM","Standard"
"005Dm000000WJa3IAG","true","005Dm000000WJZyIAO","02/20/2023T20:38:13.000Z","noreply@00ddm000000hqjmmaw","","Platform Integration User","","Platform Integration User","User15961655676312814816","00eDm000000WIaDIAW","","","CloudIntegrationUser","cloud@00ddm000000hqjmmaw","","","","","",""
"005Dm000000WJa6IAG","true","005Dm000000yCUFIA2","02/20/2023T20:38:13.000Z","noreply@chatter.salesforce.com","","Chatter Expert","","Chatter Expert","Chatter Expert","00eDm000000WIaFIAW","","","CsnOnly","chatty.00ddm000000hqjmmaw.jppslx5vhf1i@chatter.salesforce.com","","","00eDm000000WIaFIAW","false","100Dm0000001VLpIAM","CsnOnly"
